Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,downloadWithFileType,Missing default,The following switch statement is missing a default case: switch (fileType) {,362
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchive,Magic Number,The method contains a magic number: 10000,432
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadPatternJar,Magic Number,The method contains a magic number: 10000,438
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchiveZip,Magic Number,The method contains a magic number: 10000,444
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDownloadArchiveTgz,Magic Number,The method contains a magic number: 10000,450
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDirDownload,Magic Number,The method contains a magic number: 10000,488
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDirDownload,Magic Number,The method contains a magic number: 5,488
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDirDownload,Magic Number,The method contains a magic number: 2,488
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testDirDownload,Magic Number,The method contains a magic number: 1000,488
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testUniqueDestinationPath,Magic Number,The method contains a magic number: 10000,553
hadoop,org.apache.hadoop.yarn.util,TestFSDownload,testUniqueDestinationPath,Magic Number,The method contains a magic number: 1000,553
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` init() call sequence number should have been "`i`services[i].getCallSequenceNumber());" is 133.,60
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` start() call sequence number should have been "`i`services[i].getCallSequenceNumber());" is 134.,60
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` stop() call sequence number should have been "`((NUM_OF_SERVICES - 1) - i)`services[i].getCallSequenceNumber());" is 159.,60
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testCallSequence,Long Statement,The length of the statement "assertEquals("For " + services[i] + " service` stop() call sequence number should have been "`((NUM_OF_SERVICES - 1) - i)`services[i].getCallSequenceNumber());" is 159.,60
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testServiceStop,Empty catch clause,The method has an empty catch block.,174
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testInitNullConf,Empty catch clause,The method has an empty catch block.,281
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testAddIfService,Magic Number,The method contains a magic number: 1000,321
hadoop,org.apache.hadoop.yarn.util,TestCompositeService,testRemoveService,Magic Number,The method contains a magic number: 2,341
